"ibge.municode","uf","muni","electorate.96","comp.voting.98","depfedbranconulo98.pct","blank.inv.96","poverty_high_1991","frac_25_illit_1991","gini_1991","pt_pres_1994","latitude","longitude"
2615409,"PE","TORITAMA",12650,"0",40.0187930674462,12.217,34.5009994506836,38.9539985656738,0.426999986171722,8.97009966777409,-8.006667137146,36.0566673278809
2615508,"PE","TRACUNHAEM",8902,"0",42.3940149625935,24.175,86.8830032348633,56.451000213623,0.488999992609024,16.9390967429471,-7.80472230911255,35.2400016784668
2615607,"PE","TRINDADE",13845,"0",39.2706728299949,11.822,80.984001159668,56.132999420166,0.515999972820282,8.60649119974164,-7.76194429397583,40.2677764892578
2615706,"PE","TRIUNFO",11475,"0",29.0446934104325,13.974,85.3119964599609,40.7569999694824,0.601000010967255,17.3174559217207,-7.83805561065674,38.1016654968262
2615805,"PE","TUPANATINGA",12995,"0",30.7937554969217,18.802,92.4150009155273,75.4339981079102,0.526000022888184,2.78170257859414,-8.75333309173584,37.3397216796875
2615904,"PE","TUPARETAMA",7233,"0",32.9214659685864,12.601,81.9440002441406,47.0499992370605,0.620000004768372,13.8599743333809,-7.60222244262695,37.3113899230957
2616001,"PE","VENTUROSA",10252,"0",25.3551326722058,11.716,84.7310028076172,54.0060005187988,0.531000018119812,11.7105943152455,-8.57472229003906,36.8741683959961
2616100,"PE","VERDEJANTE",6755,"0",28.4615384615385,10.772,90.911003112793,54.9469985961914,0.52700001001358,13.5214761978601,-7.92555570602417,38.9716682434082
2616183,"PE","VERTENTE DO LERIO",6853,"0",29.4627383015598,13.291,88.7089996337891,67.8649978637695,0.474000006914139,12.7903327055869,-7.77138900756836,35.8499984741211
2616209,"PE","VERTENTES",11382,"0",31.3167259786477,12.112,82.6949996948242,53.5009994506836,0.486000001430511,10.4156803333018,-7.90277767181396,35.9883346557617
2616308,"PE","VICENCIA",19925,"0",35.1278877887789,19.063,87.3659973144531,57.0040016174316,0.566999971866608,17.7269751200349,-7.65694427490234,35.3266677856445
2616407,"PE","VITORIA DE SANTO ANTAO",72585,"1",16.9779318227909,18.957,73.6129989624023,43.818000793457,0.550000011920929,12.5745616677713,-8.11805534362793,35.291389465332
2616506,"PE","XEXEU",7234,"0",33.2528003514167,14.626,94.5149993896484,67.0439987182617,0.493000000715256,21.6830466830467,-8.80222225189209,35.6269454956055
2800209,"SE","AQUIDABA",13201,"0",32.9126213592233,14.665,85.7539978027344,54.3279991149902,0.541000008583069,13.8485648300891,-10.2813892364502,37.018611907959
2800407,"SE","ARAUA",6623,"0",29.9162418062637,18.342,88.3150024414062,60.4039993286133,0.5,8.50401441913813,-11.2622222900391,37.6197204589844
2800506,"SE","AREIA BRANCA",8849,"0",43.4691011235955,15.452,81.6029968261719,58.0460014343262,0.442999988794327,13.1650485436893,-10.7577781677246,37.3152770996094
2800605,"SE","BARRA DOS COQUEIROS",10878,"0",36.6054550364569,14.838,67.4229965209961,32.4570007324219,0.538999974727631,27.9458097038437,-10.9088888168335,37.0386123657227
2800670,"SE","BOQUIM",16540,"0",27.7626811594203,13.293,69.8460006713867,44.5820007324219,0.540000021457672,17.8722263189649,-11.1469440460205,37.6205558776855
2800704,"SE","BREJO GRANDE",4574,"0",33.4357713583282,21.962,91.120002746582,61.0769996643066,0.444000005722046,11.8106617647059,-10.4294443130493,36.4661102294922
2801009,"SE","CAMPO DO BRITO",11242,"0",30.5003883279707,14.067,80.8539962768555,57.5069999694824,0.560000002384186,9.77353992848629,-10.7333335876465,37.4933319091797
2801108,"SE","CANHOBA",3251,"0",25.193199381762,11.581,92.161003112793,60.8349990844727,0.504999995231628,20.3490286466908,-10.1383333206177,36.9847221374512
2801207,"SE","CANINDE DO SAO FRANCISCO",8222,"0",38.470605569471,14.742,84.9329986572266,63.9090003967285,0.462999999523163,15.2891470821231,-9.65999984741211,37.7894439697266
2801306,"SE","CAPELA",15550,"0",49.1235835694051,19.426,81.9059982299805,48.5890007019043,0.578000009059906,14.3361869819269,-10.5033330917358,37.0527763366699
