"participantid","vote_prefer","treat","actor","female","inscrite","cousin_subject","education","vecu_ailleurs"
"753_v2",6,1,1,1,0,"0",0,1
"754_v2",7,1,1,0,0,"0",2,1
"747b_v2",5,0,1,0,1,"0",0,1
"748b_v2",5,1,1,0,1,"1",5,1
"750b_v1",4,0,1,0,1,"0",5,0
"751b_v2",5,1,2,0,1,"0",5,1
"756_v2",7,1,2,1,0,"0",5,1
"759_v1",3,0,2,0,1,"0",5,1
"759_v2",3,0,1,0,1,"0",5,1
"761_v2",3,0,1,1,1,"0",6,1
"763_v1",7,1,1,0,0,"1",5,1
"763_v2",5,0,2,0,0,"0",5,1
"767_v2",5,0,1,0,0,"0",5,1
"770_v1",7,1,2,0,0,"0",5,1
"771_v1",4,0,1,0,0,"0",5,1
"772_v1",3,0,1,1,0,"0",5,1
"772_v2",7,0,2,1,0,"0",5,1
"773_v1",4,0,1,0,1,"0",5,1
"778_v1",4,0,1,0,1,"0",6,1
"1504_v1",4,0,1,0,1,"0",2,0
"1517_v2",4,1,1,0,1,"0",2,1
"1518_v1",4,0,1,1,1,"0",3,1
"1518_v2",5,1,2,1,1,"0",3,1
"1520_v2",3,0,2,0,1,"0",5,1
"1521_v2",2,0,2,1,1,"0",1,1
"1525_v2",3,0,2,1,1,"1",3,1
"1528_v2",3,0,2,0,1,"0",5,1
"1530_v1",7,1,2,1,1,"1",NA,1
"1530_v2",1,0,1,1,1,"0",NA,1
"1533a_v1",2,0,2,0,1,"0",3,0
"1533b_v1",1,0,2,0,1,"0",1,1
"1534b_v1",7,1,1,0,1,"1",3,1
"1536_v1",7,1,2,1,1,"1",5,0
"1537_v1",7,1,1,0,1,"1",3,1
"1539_v2",1,0,1,1,1,"0",3,1
"1541_v1",7,1,1,0,1,"1",2,1
"1543_v1",3,0,2,1,1,"0",3,0
"1543_v2",7,1,1,1,1,"1",3,0
"1545_v2",2,0,1,0,1,"0",3,1
"1547_v1",7,1,2,0,1,"1",5,1
"1549_v2",6,1,1,0,1,"1",2,1
"1553_v1",3,0,2,0,1,"0",NA,1
"1554_v2",1,0,1,1,1,"0",3,1
"1555_v2",7,1,2,0,1,"1",5,1
"1557_v2",7,1,1,0,1,"1",5,0
"1558_v1",2,0,1,1,0,"0",5,1
"1558_v2",6,1,2,1,0,"1",5,1
"1559_v1",7,1,2,0,0,"0",3,1
"1559_v2",7,1,1,0,0,"0",3,1
"1561_v1",6,1,1,0,1,"0",5,1
"1563_v2",2,0,2,1,1,"0",5,1
"1564_v2",1,0,1,0,1,"0",2,1
"1565_v2",7,1,2,0,1,"0",2,1
"1567_v2",7,1,1,1,1,"1",5,1
